Specimen	status	bam_file_name	gnos_metadata_url
NORMAL	BROKEN	138b736ebc1b4f123d90c87b9763ec46.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/318cc24a-0388-4da4-a079-d25af082fbf9
NORMAL	BROKEN	509cf12251566b35bd6071bd2611fb42.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/ba6e2d1d-631a-43e4-be9d-e2d6927e5ee4
NORMAL	BROKEN	6d6d1f6776a91013bc87964cd3005e4e.bam	https://gtrepo-ebi.annailabs.com/cghub/metadata/analysisFull/1ff987a9-88cd-42f6-a7be-679534aebe2f
NORMAL	BROKEN	81eda88c942f0f4a602826ff1afc501e.bam	https://gtrepo-ebi.annailabs.com/cghub/metadata/analysisFull/69a4beb0-7b55-4c0e-a416-b870662c12c1
NORMAL	BROKEN	8fb84157d1bbd0c8b183ca93d11076d2.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/88156c15-4ff8-4138-bb2f-62c2c4446fca
NORMAL	BROKEN	c091d05b530076ae2ec21d3016bc3883.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/7b994104-64b6-421f-83da-86bf2b70c991
NORMAL	FIXED	fdcb1bd7cffca69d15383ca9566c58e0.bam	https://gtrepo-ebi.annailabs.com/cghub/metadata/analysisFull/c9c8fa5f-c551-4565-ba3d-43ceddc2fdeb
NORMAL	OK	066f8f871be1147c121d60aa552efad0.bam	https://gtrepo-ebi.annailabs.com/cghub/metadata/analysisFull/4b1e0617-2708-4287-aae7-9e4a6ecda16c
NORMAL	OK	08f6c8561dcbc9c4e311cc79d87c73fa.bam	https://gtrepo-ebi.annailabs.com/cghub/metadata/analysisFull/d6b0c11d-a30d-4d28-acf3-a8ec992a7d45
NORMAL	OK	0b472eda970ba735ff7ce47f09f43def.bam	https://gtrepo-ebi.annailabs.com/cghub/metadata/analysisFull/c7ea07d8-026d-4a9b-bbf4-1b8553bb2217
NORMAL	OK	0b7983f4d85911b7351f5136819c96f1.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/b8ee37d2-ca7a-44be-a422-53695c725acf
NORMAL	OK	0cdeaa8bf1b4757e694bce73c750c6d6.bam	https://gtrepo-ebi.annailabs.com/cghub/metadata/analysisFull/403b24cd-0a67-4cf7-96be-a8eab1cb9173
NORMAL	OK	0d92673a261e7374573796898c7136fc.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/685feb5c-2f35-4e42-bbd1-1c5869880d51
NORMAL	OK	0f42d242dc27ff36404dd459c30adcf4.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/389dc101-d1c1-44ef-ac45-3af34576f188
NORMAL	OK	133a017f363c34d54bc869fb4deba74f.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/7ed788a2-67d8-46a1-9731-9bb0aa0ed368
NORMAL	OK	13a11d3cb956f0075c19f758d64b32d8.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/975de353-d2ad-4eb3-91fe-276bb04d0e44
NORMAL	OK	15c1dff43b7a10b72f9c600b082d957c.bam	https://gtrepo-riken.annailabs.com/cghub/metadata/analysisFull/fa9fc41d-7b27-43d5-8c14-4138aa561c5b
NORMAL	OK	16b1a5fc5a18d9a759ee0c7a6a8a327b.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/59f49c72-e49f-42c3-83f2-9396e78cb8d1
NORMAL	OK	17e6368cb4ae6ae3ac0ca12e20c90dd4.bam	https://gtrepo-ebi.annailabs.com/cghub/metadata/analysisFull/45771bde-d4b8-444c-b72c-64089b0aea9c
NORMAL	OK	18af94c9e9eb717dc0197f49f95eaa68.bam	https://gtrepo-ebi.annailabs.com/cghub/metadata/analysisFull/6d4e6101-4d85-4c54-98cd-2c0c04ea3c7f
NORMAL	OK	19b5c966e73ac25e8209675aebae44d2.bam	https://gtrepo-ebi.annailabs.com/cghub/metadata/analysisFull/cb43469c-6fc1-4166-9c3b-ea74768ffe7e
NORMAL	OK	1ad29258baca5c11c468d3748f263bd3.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/7e9c85db-cbe9-42c6-9a7d-d46473addea5
NORMAL	OK	25aba69d609ec3959a1e472d64e25643.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/b9be76fd-15c5-489d-a739-181af646f6fb
NORMAL	OK	27ed80c3b3e851cdb16492e38eea8ed7.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/b4587aa4-5267-49fc-91a4-317f51d3b20b
NORMAL	OK	28bcfef28146f4b23291eea7f9b0fa4c.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/367eb2ad-3933-4cac-ab2f-3708acc636dd
NORMAL	OK	33ad005820e542772c8fbcda28dd9f58.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/8d45ef88-2428-4220-b862-790484ed9892
NORMAL	OK	3452fdece33fe81a476c1b1e47b2e53b.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/e82253a5-7a18-4f47-bf2e-a25abf816fc2
NORMAL	OK	351f45dc9e0dd2b786d0d24efc210932.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/90c2be4f-3251-469c-8d42-b5c29d3b628f
NORMAL	OK	3aeec71296e1dbe3458481c920cf1b8a.bam	https://gtrepo-ebi.annailabs.com/cghub/metadata/analysisFull/c405d92c-23fc-41b1-a4c6-bd48d2048d71
NORMAL	OK	40416d2bdc893b54ead778cdd5c1177f.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/b364da0c-19dc-4d6d-8375-bcba9a1c4eda
NORMAL	OK	408bb34a79d24404845cc07574321fa4.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/572706c4-d1b2-438d-95d8-bf07ec31b827
NORMAL	OK	41c9ee902e45fd904a88192d35d935a8.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/15d0a648-3637-499f-b82f-57a8d3b64a91
NORMAL	OK	450023f8bdee7b02c4aacd1c7128593b.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/01fcb0f7-c9d3-490a-adcb-ba866e9eb4b4
NORMAL	OK	4b169b10b55df1e433f1b012c3412465.bam	https://gtrepo-ebi.annailabs.com/cghub/metadata/analysisFull/74d16ad6-7de9-472d-bc7c-94a954bec156
NORMAL	OK	4cbfc081f5bd7d572e5c9bf0090c0426.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/e5db6d63-3e9b-400e-9cce-8eee015281d8
NORMAL	OK	5365a2412ea10d21234cfb4abf71d337.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/0bef43a2-352a-42c6-99ff-d97e2675a527
NORMAL	OK	53bf14aaf1c3adc718d8b505f4e46331.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/25691ae5-7091-4315-a1ce-8dd500575ca3
NORMAL	OK	54e17c4435f6b73a956a50e70110ce0f.bam	https://gtrepo-ebi.annailabs.com/cghub/metadata/analysisFull/749ee621-c14c-4500-9bc3-8658c3e7076f
NORMAL	OK	5a5d05ee2abd81a78493a42887e0d31c.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/6616b32e-fc70-445b-9c6a-2443c971ef06
NORMAL	OK	5b2243e4bcd16e58f9ad33274d3ca06f.bam	https://gtrepo-bsc.annailabs.com/cghub/metadata/analysisFull/1c125f87-537c-4dcf-8a74-11785df2507d
